TS,PD1,PD2,PD3,PD4,PD5,PD6,Target
1618595497911,1.22,0,0.02,0.19,0,0,1
1618595502921,1.22,0,0.02,0.19,0,0,1
1618595507931,1.22,0,0.04,0.18,0,0,1
1618595512941,1.22,0,0.04,0.18,0,0,1
1618595517952,1.23,0,0.21,0.16,0,0,1
1618595522962,1.23,0,0.21,0.16,0,0,1
1618595527971,1.23,0,0.22,0.16,0,0,1
1618595532981,1.24,0,0.22,0.16,0,0,1
1618595537991,1.24,0,0.22,0.14,0,0,1
1618595542995,1.24,0,0.22,0.14,0,0,1
1618595547998,1.24,0,0.23,0.13,0,0,1
1618595553002,1.23,0,0.23,0.13,0,0,1
1618595558005,1.23,0,0.23,0.13,0,0,1
1618595563009,1.25,0,0.23,0.13,0,0,1
1618595568012,1.25,0,0.23,0.12,0,0,1
1618595573016,1.24,0,0.23,0.12,0,0,1
1618595578022,1.24,0,0.23,0.11,0,0,1
1618595583026,1.24,0,0.24,0.11,0,0,1
1618595588029,1.24,0,0.24,0.11,0,0,1
1618595593033,1.24,0,0.24,0.1,0,0,1
1618595598036,1.24,0,0.24,0.1,0,0,1
1618595603040,1.23,0.02,0.24,0.06,0,0,1
1618595608043,1.23,0.02,0.24,0.06,0,0,1
1618595613047,1.23,0.03,0.24,0.01,0,0,1
1618595618051,1.23,0.03,0.24,0.01,0,0,1
1618595623055,1.23,0.05,0.24,0,0,0,1
1618595628061,1.23,0.05,0.24,0,0,0,1
1618595633072,1.23,0.05,0.24,0,0,0,1
1618595638078,1.23,0.06,0.24,0,0,0,1
1618595643084,1.23,0.06,0.23,0,0,0,1
1618595648089,1.22,0.09,0.23,0,0,0,1
1618595653096,1.22,0.09,0.23,0,0,0,1
1618595658101,1.22,0.12,0.23,0,0,0,1
1618595663111,1.22,0.12,0.23,0,0,0,1
1618595668122,1.2,0.15,0.22,0,0,0,1
1618595673127,1.2,0.15,0.22,0,0,0,1
1618595678134,1.19,0.18,0.21,0,0,0,1
1618595683142,1.19,0.18,0.21,0,0,0,1
1618595688150,1.17,0.23,0.19,0,0,0,1
1618595693182,1.17,0.23,0.19,0,0,0,1
1618595698188,1.17,0.26,0.18,0,0,0,1
1618595703198,1.15,0.26,0.18,0,0,0,1
1618595708202,1.15,0.3,0.16,0,0,0,1
1618595713206,1.13,0.3,0.16,0,0,0,1
1618595718209,1.13,0.3,0.14,0,0,0,1
1618595723213,1.1,0.34,0.14,0,0,0,1
1618595728216,1.1,0.34,0.12,0,0,0,1
1618595733221,1.07,0.38,0.12,0,0,0,1
1618595738225,1.07,0.38,0.12,0,0,0,1
1618595743232,1.04,0.41,0.1,0,0,0,1
1618595748236,1.04,0.41,0.1,0,0,0,1
1618595753252,1.01,0.42,0.1,0,0,0,1
1618595758256,1.01,0.42,0.1,0,0,0,1
1618595763259,0.98,0.48,0.05,0,0.04,0,1
1618595768263,0.98,0.48,0.05,0,0.04,0,1
1618595773266,0.94,0.53,0,0,0.05,0,1
1618595778270,0.94,0.53,0,0,0.05,0,1
1618595783273,0.94,0.54,0,0,0.05,0,1
