4776 3
45.320 16.255 116.943
47.958 18.490 115.787
50.550 19.743 113.968
52.270 20.187 112.089
53.878 20.712 109.759
55.592 21.918 107.998
57.870 24.135 106.343
59.959 26.657 104.876
62.106 28.899 103.159
63.905 30.066 101.226
65.832 31.957 99.410
68.133 34.194 97.349
69.669 35.736 95.611
71.680 37.315 93.640
72.830 39.648 92.241
74.273 42.228 90.849
76.585 44.677 88.701
78.874 46.515 86.917
79.398 47.209 87.125
78.682 46.996 88.853
76.857 46.553 91.886
121.885 28.927 121.493
128.060 43.687 101.473
-129.210 50.151 119.559
-131.742 49.893 123.402
-131.655 26.006 124.517
-132.131 10.459 116.721
-132.284 5.537 113.751
-146.156 -28.795 85.003
-149.499 -31.885 80.892
-162.458 -45.197 55.279
-166.385 -47.147 49.922
-166.137 -48.400 43.812
96.079 -28.555 6.207
109.207 -42.434 1.454
112.586 -42.989 -56.973
-41.330 -72.435 163.016
-43.614 -68.252 161.705
-44.447 -60.586 162.818
-48.429 -50.824 161.501
-46.460 -47.929 166.360
-47.373 -45.499 166.140
-48.737 -41.285 165.369
-51.718 -37.797 163.875
-54.248 -34.839 161.637
-54.867 -32.723 161.095
-55.267 -30.507 161.695
-57.721 -25.488 162.018
-59.087 -22.983 161.860
-59.535 -19.570 161.906
-60.929 -16.994 161.728
-62.217 -14.683 161.696
-62.981 -11.634 161.630
-64.018 -8.601 161.517
-65.360 -7.612 161.891
-65.791 -2.605 161.279
-67.277 -3.219 162.235
168.135 -24.695 80.821
162.001 -31.892 81.007
160.439 -34.220 81.709
176.292 -17.307 79.069
177.074 -18.850 77.683
-179.624 -22.239 74.935
-1.171 -3.713 160.893
1.496 -2.057 159.082
3.634 -0.773 157.149
5.998 0.060 155.728
8.384 0.876 155.339
11.363 2.385 154.243
14.340 3.671 152.527
17.253 4.211 150.791
19.767 4.393 148.269
21.799 4.223 146.153
25.130 4.370 144.104
28.240 4.315 142.930
30.609 4.502 141.873
32.945 5.070 140.675
35.140 5.478 139.233
41.588 5.808 136.627
44.503 5.737 135.574
50.072 5.734 133.114
57.825 4.643 130.532
66.640 3.624 127.834
68.339 3.343 126.990
73.661 2.373 126.222
76.403 1.833 125.573
83.478 0.673 124.960
88.836 0.042 124.436
93.216 -0.478 124.417
99.193 -0.819 124.724
101.557 -0.858 124.905
